decision_id,scope,source_report,priority,current_label,normalized_label,sample_count,batch,signer_id,landmark_path,stickman_video_path,frame_count,left_hand_frame_pct,right_hand_frame_pct,both_hands_missing_frame_pct,label_flags,sample_flags,issue_flags,recommended_action,selected_action,target_label,review_status,notes
sample::KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/BORN.npy,sample,review_candidates.csv,medium,BORN,born,2,Batch 1,201,KSL-Dataset/Pose Data/Batch 1/201/Extract/Landmarks/BORN.npy,KSL-Dataset/Pose Data/Batch 1/201/Extract/Stickmans/BORN.mp4,13,38.46,0.0,61.54,low_sample_count,right_hand_missing_all_frames,sample:right_hand_missing_all_frames;label:low_sample_count,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BOTH.npy,sample,review_candidates.csv,medium,BOTH,both,1,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BOTH.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BOTH.mp4,10,0.0,40.0,60.0,single_sample,short_sequence;left_hand_missing_all_frames,sample:short_sequence;sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/BOY.npy,sample,review_candidates.csv,medium,BOY,boy,6,Batch 1,238,KSL-Dataset/Pose Data/Batch 1/238/Extract/Landmarks/BOY.npy,KSL-Dataset/Pose Data/Batch 1/238/Extract/Stickmans/BOY.mp4,39,0.0,64.1,35.9,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/129/Extract/Landmarks/BOY.npy,sample,review_candidates.csv,medium,BOY,boy,6,Batch 2,129,KSL-Dataset/Pose Data/Batch 2/129/Extract/Landmarks/BOY.npy,KSL-Dataset/Pose Data/Batch 2/129/Extract/Stickmans/BOY.mp4,40,0.0,62.5,37.5,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/154/Extract/Landmarks/BOY THAT.npy,sample,review_candidates.csv,medium,BOY THAT,boythat,2,Batch 2,154,KSL-Dataset/Pose Data/Batch 2/154/Extract/Landmarks/BOY THAT.npy,KSL-Dataset/Pose Data/Batch 2/154/Extract/Stickmans/BOY THAT.mp4,53,100.0,100.0,0.0,contains_space;contains_unexpected_characters;low_sample_count,,label:contains_space;label:contains_unexpected_characters;label:low_sample_count,rename_label_review,keep,,pending,multiword or non-standard label; keep for now and review naming later
sample::KSL-Dataset/Pose Data/Batch 2/65/Extract/Landmarks/BOY THAT.npy,sample,review_candidates.csv,medium,BOY THAT,boythat,2,Batch 2,65,KSL-Dataset/Pose Data/Batch 2/65/Extract/Landmarks/BOY THAT.npy,KSL-Dataset/Pose Data/Batch 2/65/Extract/Stickmans/BOY THAT.mp4,44,100.0,93.18,0.0,contains_space;contains_unexpected_characters;low_sample_count,,label:contains_space;label:contains_unexpected_characters;label:low_sample_count,rename_label_review,keep,,pending,multiword or non-standard label; keep for now and review naming later
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/BREAK.npy,sample,review_candidates.csv,medium,BREAK,break,2,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/BREAK.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/BREAK.mp4,11,36.36,0.0,63.64,low_sample_count,short_sequence;right_hand_missing_all_frames,sample:short_sequence;sample:right_hand_missing_all_frames;label:low_sample_count,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BRIEF.npy,sample,review_candidates.csv,medium,BRIEF,brief,1,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BRIEF.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BRIEF.mp4,45,0.0,82.22,17.78,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/BROAD.npy,sample,review_candidates.csv,medium,BROAD,broad,1,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/BROAD.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/BROAD.mp4,31,80.65,0.0,19.35,single_sample,right_hand_missing_all_frames,sample:right_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/234/Extract/Landmarks/BUS.npy,sample,review_candidates.csv,medium,BUS,bus,1,Batch 1,234,KSL-Dataset/Pose Data/Batch 1/234/Extract/Landmarks/BUS.npy,KSL-Dataset/Pose Data/Batch 1/234/Extract/Stickmans/BUS.mp4,17,64.71,0.0,35.29,single_sample,right_hand_missing_all_frames,sample:right_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/BY.npy,sample,review_candidates.csv,medium,BY,by,1,Batch 2,112,KSL-Dataset/Pose Data/Batch 2/112/Extract/Landmarks/BY.npy,KSL-Dataset/Pose Data/Batch 2/112/Extract/Stickmans/BY.mp4,8,87.5,100.0,0.0,single_sample,short_sequence,sample:short_sequence;label:single_sample,review_short_sequence,keep,,pending,short sequence flagged; keep unless playback looks truncated
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BYE.npy,sample,review_candidates.csv,medium,BYE,bye,1,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/BYE.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/BYE.mp4,8,12.5,100.0,0.0,single_sample,short_sequence,sample:short_sequence;label:single_sample,review_short_sequence,keep,,pending,short sequence flagged; keep unless playback looks truncated
sample::KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/CAR.npy,sample,review_candidates.csv,medium,CAR,car,5,Batch 1,204,KSL-Dataset/Pose Data/Batch 1/204/Extract/Landmarks/CAR.npy,KSL-Dataset/Pose Data/Batch 1/204/Extract/Stickmans/CAR.mp4,22,0.0,68.18,31.82,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/CASECASS.npy,sample,review_candidates.csv,medium,CASECASS,casecass,1,Batch 1,264,KSL-Dataset/Pose Data/Batch 1/264/Extract/Landmarks/CASECASS.npy,KSL-Dataset/Pose Data/Batch 1/264/Extract/Stickmans/CASECASS.mp4,60,93.33,0.0,6.67,single_sample,right_hand_missing_all_frames,sample:right_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,right hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/205/Extract/Landmarks/CHILD.npy,sample,review_candidates.csv,medium,CHILD,child,3,Batch 1,205,KSL-Dataset/Pose Data/Batch 1/205/Extract/Landmarks/CHILD.npy,KSL-Dataset/Pose Data/Batch 1/205/Extract/Stickmans/CHILD.mp4,28,0.0,75.0,25.0,,left_hand_missing_all_frames,sample:left_hand_missing_all_frames,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/234/Extract/Landmarks/CLIMB.npy,sample,review_candidates.csv,medium,CLIMB,climb,1,Batch 1,234,KSL-Dataset/Pose Data/Batch 1/234/Extract/Landmarks/CLIMB.npy,KSL-Dataset/Pose Data/Batch 1/234/Extract/Stickmans/CLIMB.mp4,65,0.0,100.0,0.0,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/160/Extract/Landmarks/COCKROACH.npy,sample,review_candidates.csv,medium,COCKROACH,cockroach,1,Batch 2,160,KSL-Dataset/Pose Data/Batch 2/160/Extract/Landmarks/COCKROACH.npy,KSL-Dataset/Pose Data/Batch 2/160/Extract/Stickmans/COCKROACH.mp4,81,0.0,100.0,0.0,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 1/205/Extract/Landmarks/COUSIN.npy,sample,review_candidates.csv,medium,COUSIN,cousin,2,Batch 1,205,KSL-Dataset/Pose Data/Batch 1/205/Extract/Landmarks/COUSIN.npy,KSL-Dataset/Pose Data/Batch 1/205/Extract/Stickmans/COUSIN.mp4,48,0.0,72.92,27.08,low_sample_count,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:low_sample_count,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/COUSIN.npy,sample,review_candidates.csv,medium,COUSIN,cousin,2,Batch 2,149,KSL-Dataset/Pose Data/Batch 2/149/Extract/Landmarks/COUSIN.npy,KSL-Dataset/Pose Data/Batch 2/149/Extract/Stickmans/COUSIN.mp4,35,0.0,100.0,0.0,low_sample_count,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:low_sample_count,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
sample::KSL-Dataset/Pose Data/Batch 2/148/Extract/Landmarks/CUP.npy,sample,review_candidates.csv,medium,CUP,cup,2,Batch 2,148,KSL-Dataset/Pose Data/Batch 2/148/Extract/Landmarks/CUP.npy,KSL-Dataset/Pose Data/Batch 2/148/Extract/Stickmans/CUP.mp4,7,57.14,57.14,42.86,low_sample_count,short_sequence,sample:short_sequence;label:low_sample_count,review_short_sequence,keep,,pending,short sequence flagged; keep unless playback looks truncated
sample::KSL-Dataset/Pose Data/Batch 2/166/Extract/Landmarks/DEAD.npy,sample,review_candidates.csv,medium,DEAD,dead,1,Batch 2,166,KSL-Dataset/Pose Data/Batch 2/166/Extract/Landmarks/DEAD.npy,KSL-Dataset/Pose Data/Batch 2/166/Extract/Stickmans/DEAD.mp4,67,0.0,94.03,5.97,single_sample,left_hand_missing_all_frames,sample:left_hand_missing_all_frames;label:single_sample,review_hand_quality,keep,,pending,left hand missing across all frames; keep unless playback looks wrong
